SMILES	MolWt	LogP	HBD	HBA	RotatableBonds	TPSA	Volume	LipinskiViolations	NumAtoms
C=CC(=O)Nc1ccc(-n2nc3c(=O)[nH]nc(N)c3c2-c2oc3ccc(C)cc3c2C)cc1	440.46	3.85	3	7	4	131.83	265.16	0	33
CN1CCN(c2ccc(-c3ccc4ccn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1	535.67	5.1	1	7	6	70.47	322.41	2	39
Cn1c(-c2csc(N/N=C\C3CCCN3)n2)nc2ccccc21	326.43	2.85	2	7	4	67.13	196.46	0	23
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OCCOC	416.84	3.56	1	6	8	86.23	250.67	0	29
COc1cc2c(Nc3cc(OC)c(OC)c(OC)c3)c(C#N)cnc2cc1OCCCN1CCN(C)CC1	521.62	3.9	1	10	11	101.34	314.01	1	38
Cc1c(C#Cc2cnc3cnc(-c4ccccc4)cn23)cccc1C(=O)Nc1cc(CN2CCN(C)CC2)cc(C(F)(F)F)c1	608.67	6.12	1	6	5	65.77	366.42	2	45
CC(C)(C)c1cc(NC(=O)Nc2ccc(Oc3ccnc4[nH]c(=O)cnc34)c3ccccc23)n(-c2ccc(CO)nc2)n1	576.62	5.28	4	9	6	159.94	347.12	2	43
Cc1ccoc1C(=O)Nc1cccc(Oc2ccnc3cc(C(=O)NCCc4nn[nH]n4)sc23)c1	489.52	3.73	3	9	8	147.92	294.65	0	35
CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21	295.35	2.59	1	6	2	78.85	177.8	0	22
Brc1cccc(Nc2ncnc3cc4c(ccn4CCCN4CCOCC4)cc23)c1	466.38	4.81	1	6	6	55.21	280.19	0	30
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCC1CN(CC=C(C)C)CCO1	503.43	5.73	1	7	8	68.74	302.5	2	34
O=C(CC1C(S)=Nc2ccccc21)NCc1ccccc1	296.4	3.45	2	2	4	41.46	178.37	0	21
COc1cc2c(cc1OC)Nc1ncnc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c1NC2	588.57	5.59	4	9	8	135.73	354.33	2	43
COc1cc2cncc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC	484.56	5.4	1	6	6	76.16	291.69	1	36
CC(=O)N1CCN([C@H]2C[C@@H](n3cc(-c4cccc(OC[C@@H]5CCCO5)c4F)c4c(N)ncnc43)C2)CC1	508.6	3.25	1	8	6	98.74	306.18	1	37
NC(=S)N1N=C(c2ccc(Br)cc2)CC1c1ccc2ccccc2c1	410.34	5.0	1	2	2	41.62	246.4	0	25
Nc1ncnc2c1c(-c1ccccc1)cn2C1CCCC1	278.36	3.8	1	4	2	56.73	167.56	0	21
Cn1c(CO)cc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(Cl)c3)c21	491.86	5.57	3	6	5	101.3	295.84	1	34
CCOc1ccc(-c2nc3ccccn3c2-c2ccnc(Nc3ccc(N4CCN(CCOC)CC4)cc3OC)n2)cc1C(=O)Nc1c(F)cccc1F	734.81	6.91	2	11	13	118.38	442.36	3	54
CC(C)n1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21	321.34	2.76	1	7	2	99.83	193.45	0	24
NC(=O)c1ccc(Nc2nc(N3CCNCC3)nc3[nH]cnc23)cc1	338.38	0.61	4	7	4	124.85	203.71	0	25
O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C/c1ccc[nH]1	255.23	2.42	2	3	2	88.03	153.65	0	19
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC(CC)NC(C)=O	516.37	4.69	3	6	9	105.24	310.3	1	33
C=CC(=O)Nc1cccc(Nc2ncc3nc(Nc4ccccc4)n(C(C)C)c3n2)c1	413.49	5.02	3	7	7	96.76	248.91	1	31
C=CC(=O)Nc1ccc(OC)c(-c2cc3c(cn2)cc(-c2c(Cl)c(OC)cc(OC)c2Cl)c(=O)n3CC)c1	554.43	6.21	1	7	8	91.68	333.2	2	38
COc1cc(OC)cc(N(CCCN2CCC(F)C2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1.Cl	527.04	5.04	0	8	9	68.54	317.0	2	37
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1	511.95	2.9	4	7	7	124.27	307.92	1	36
