MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,pIC50
394.41,4.94,2,6,5,101.66,237.39,0,28,6.036212173
262.27,2.81,2,4,0,58.2,157.88,0,20,4.552841969
569.06,6.12,3,8,10,121.19,342.29,2,41,8.22184875
544.68,4.28,3,7,8,102.59,327.85,1,39,7.853871964
452.27,6.2,3,4,4,79.62,271.72,1,30,4.565431096
547.62,3.49,3,10,8,135.77,329.67,1,40,7.576754126
379.46,3.47,2,6,4,109.05,228.43,0,28,5.0
372.38,3.47,3,5,2,105.82,224.19,0,27,6.958607315
371.83,5.37,2,6,4,62.73,223.52,1,25,7.229147988
485.47,3.95,2,6,6,116.47,292.27,0,35,5.188424994
506.37,4.17,2,7,6,88.61,304.28,1,34,7.301029996
468.4,5.44,1,6,8,55.21,281.4,1,30,5.369572125
408.46,5.39,3,4,3,89.15,245.85,1,29,5.33648753
338.32,0.77,4,7,6,134.41,203.68,0,25,4.301029996
195.23,2.42,0,3,1,30.71,117.52,0,15,4.301029996
267.29,2.36,2,6,3,85.95,160.91,0,20,6.879985748
324.34,2.35,4,4,4,111.8,195.26,0,24,4.0
577.86,4.04,1,9,6,87.2,347.03,1,36,7.301029996
314.32,1.45,3,7,2,101.88,189.23,0,23,5.060480747
252.27,2.81,0,4,2,44.12,151.86,0,19,4.301029996
395.42,3.89,1,8,7,94.86,238.04,0,29,5.148741651
539.47,5.71,1,7,9,73.83,324.2,2,37,8.522878745
493.55,3.99,2,9,8,132.4,297.07,0,35,6.388276692
492.41,6.16,1,6,5,68.33,295.86,1,34,7.958607315
522.35,6.28,4,4,4,87.99,313.86,2,32,6.777283529
492.58,5.38,0,8,8,78.19,296.52,1,37,6.630005338
556.14,4.16,1,8,8,79.21,334.47,1,38,7.096910013
363.44,5.21,2,6,5,67.27,218.74,1,26,4.903089987
266.3,2.56,1,5,3,59.81,160.31,0,20,4.677780705
471.31,4.92,2,7,8,94.6,283.17,0,30,6.187086643
408.46,3.67,2,7,4,111.03,245.9,0,30,5.744727495
479.2,4.99,0,4,2,45.03,287.3,0,25,5.692503962
514.68,5.48,4,5,4,104.97,309.83,2,38,7.522878745
408.29,5.16,3,4,4,79.62,245.22,1,28,3.522878745
299.31,2.65,2,6,2,89.85,180.19,0,22,5.537602002
632.66,5.77,2,8,12,111.25,380.87,2,46,5.524328812
270.72,3.61,2,4,2,63.83,162.69,0,19,9.602059991
432.4,3.72,2,6,7,87.58,260.33,0,31,8.26760624
346.42,2.03,2,7,4,115.79,208.51,0,24,4.0
345.4,5.07,1,5,5,60.18,207.92,1,26,8.397940009
404.35,4.69,2,5,5,85.37,243.44,0,29,6.987458027
380.38,2.3,1,7,4,86.34,229.0,0,28,7.22184875
481.6,4.66,2,7,9,78.32,289.92,0,36,7.642065153
529.53,2.42,4,5,10,145.27,318.79,1,37,6.552841969
475.62,3.55,3,8,9,100.57,286.27,0,34,7.397940009
565.67,4.01,2,7,7,94.22,340.52,1,42,6.853871964
339.78,4.52,1,5,4,67.17,204.26,0,24,7.022276395
615.73,5.24,3,9,12,127.18,370.67,2,45,8.283996656
306.41,4.31,0,2,2,32.67,184.44,0,23,4.757210191
656.71,6.15,5,11,10,176.9,395.34,3,49,8.522878745
419.67,6.3,0,2,2,39.83,251.8,1,27,5.0
445.38,5.56,2,5,4,81.07,268.14,1,32,7.017728767
467.53,4.02,1,8,7,98.06,281.45,0,35,6.744727495
485.47,3.95,2,6,6,116.47,292.27,0,35,6.244125144
419.89,6.57,1,4,6,47.04,252.48,1,30,4.698970004
276.29,0.66,3,5,3,79.15,166.33,0,20,3.526805091
359.9,4.75,0,3,7,29.54,216.36,0,25,4.0
351.43,4.0,0,4,4,55.73,211.5,0,25,5.0
543.5,5.75,0,8,9,68.54,326.62,2,37,8.739928612
429.46,4.47,3,7,8,96.76,258.54,0,32,6.005682847
417.88,5.82,3,4,4,79.62,251.27,1,30,3.522878745
485.55,5.77,3,6,7,102.16,292.28,1,37,7.107905397
145.17,1.21,1,3,0,51.8,87.39,0,11,9.102372909
380.44,4.64,1,5,5,64.99,229.01,0,28,5.27572413
716.79,7.04,2,10,9,109.15,431.51,2,53,7.0
276.3,2.65,3,3,1,87.56,166.33,0,21,7.356547324
360.47,5.71,1,6,3,50.7,216.9,1,25,5.0
347.81,4.41,1,5,4,63.59,209.09,0,25,6.327902142
270.72,3.56,1,3,2,41.99,162.65,0,17,5.499999679
496.85,4.52,2,6,6,87.58,298.85,0,34,8.22184875
306.15,3.3,0,4,1,47.78,183.74,0,20,4.301029996
439.52,3.81,2,7,8,95.93,264.59,0,33,6.517126416
482.64,4.55,2,8,5,88.13,290.54,0,36,7.187086643
388.81,4.22,2,7,5,94.6,233.79,0,27,5.211124884
655.68,5.09,3,10,13,148.19,394.69,2,46,8.0
327.41,4.11,2,4,4,63.25,197.05,0,23,9.958607315
401.31,3.89,2,6,7,65.97,241.02,0,25,8.920818754
284.27,2.19,2,5,1,83.83,171.13,0,21,8.568636236
492.05,6.29,2,7,7,74.17,295.88,1,34,8.366531544
526.71,5.4,3,5,6,76.29,317.02,2,38,5.777803954
308.34,3.08,3,2,2,82.19,185.61,0,23,6.508638306
579.75,5.14,1,8,6,86.6,349.0,2,43,6.0
426.86,3.06,3,7,8,118.13,256.7,0,30,7.187086643
602.37,5.98,1,7,5,96.89,362.1,2,40,9.420216403
458.58,5.35,1,5,8,42.32,276.05,1,34,5.217742426
470.96,6.1,4,5,6,94.06,283.22,1,34,8.508638306
316.41,4.5,2,4,3,63.83,190.46,0,24,5.107905397
475.55,3.66,3,6,8,114.15,286.28,0,35,7.946921557
244.18,2.4,1,4,5,72.83,147.02,0,16,2.677780705
469.42,6.11,2,5,6,81.71,282.61,1,34,5.0
427.29,4.54,2,6,4,80.04,256.67,0,29,7.045757491
390.5,3.49,1,8,9,100.33,235.08,0,29,5.251811973
488.64,5.21,1,8,10,77.33,294.15,1,36,7.439973751
614.7,4.79,2,10,12,119.54,370.05,1,45,7.698970004
676.55,5.88,1,8,9,103.37,406.74,2,46,8.338187314
398.63,6.68,2,2,7,40.46,239.95,1,29,5.619788758
494.6,4.96,2,7,9,92.27,297.74,0,37,6.829738285
593.84,4.47,3,7,8,117.71,356.66,1,37,7.455931956
311.39,4.4,0,5,5,51.39,187.45,0,23,7.134896025
570.65,3.15,2,11,8,126.62,343.54,2,42,6.924453039
501.57,4.08,2,9,8,90.53,301.95,1,37,6.397940009
293.33,2.09,2,6,1,89.85,176.58,0,22,8.096910013
630.59,3.4,5,8,13,184.11,379.63,1,45,4.167491087
1335.54,-5.98,19,18,45,585.86,804.06,3,95,4.005243055
295.34,3.54,0,5,2,51.39,177.79,0,22,6.986320303
551.65,4.85,2,9,12,106.43,332.09,1,41,8.15490196
460.58,3.43,4,7,11,98.33,277.26,0,34,9.522878745
281.23,1.47,2,7,3,160.76,169.31,0,21,4.22184875
474.95,3.76,1,9,8,87.2,285.64,0,33,7.301029996
325.13,1.07,3,7,5,96.73,195.86,0,24,6.0
471.63,6.33,1,7,7,74.07,283.86,1,34,7.812479279
442.75,5.48,3,4,5,79.62,265.68,1,27,4.485452247
463.37,4.79,1,7,8,68.74,278.39,0,31,9.0
354.46,5.67,1,4,3,50.7,213.36,1,27,6.744727495
496.62,5.49,2,7,8,92.27,298.95,1,37,7.853871964
519.61,3.54,3,10,12,126.66,312.81,1,38,9.552841969
565.67,4.15,2,7,7,94.22,340.52,1,42,8.366531544
338.44,4.17,3,6,2,84.06,203.69,0,24,8.026872146
522.88,2.71,4,7,10,163.88,314.52,1,35,4.167491087
474.57,4.1,1,8,8,94.4,285.69,0,35,7.619969752
446.51,2.39,3,8,9,116.32,268.8,0,33,7.400007822
465.59,6.02,2,7,8,74.66,280.23,1,34,8.397940009
322.8,4.33,1,2,2,37.27,194.03,0,23,5.769551079
388.48,2.4,3,5,3,94.04,233.86,0,29,8.698970004
439.9,3.83,1,8,7,85.53,264.54,0,31,8.730020323
357.42,4.36,1,6,6,76.73,215.16,0,27,5.0
557.61,3.64,2,10,12,131.98,335.68,1,41,6.969400278
490.89,3.41,3,7,6,107.81,295.25,0,34,8.853871964
366.81,4.5,3,6,5,87.75,220.54,0,26,5.468521083
400.44,4.16,3,6,7,100.28,241.06,0,30,5.0
582.0,5.19,2,8,10,115.21,350.07,2,39,7.508638306
392.48,4.2,2,5,5,87.74,236.22,0,28,9.397940009
317.4,3.98,1,5,1,69.62,191.06,0,24,6.0
451.47,4.55,3,6,4,118.27,271.78,0,34,7.657577319
550.71,5.62,2,8,6,110.77,331.52,2,41,7.236572006
454.94,4.62,2,6,6,83.04,273.6,0,32,7.356547324
277.5,5.3,1,1,4,12.03,167.03,1,20,5.828215059
429.48,3.41,4,7,7,126.64,258.55,0,32,8.193820026
578.63,5.74,3,9,6,140.98,348.34,2,43,7.795880017
545.07,3.68,3,10,9,124.61,327.82,1,37,3.0
397.43,5.28,1,6,5,65.5,239.24,1,30,6.739928612
966.89,5.48,2,14,17,201.5,581.47,3,65,6.486516043
237.26,2.12,1,3,2,60.91,142.83,0,18,5.0
476.58,3.67,1,9,7,75.22,286.9,0,35,6.73754891
663.68,-2.11,7,11,19,277.46,399.56,3,47,5.065501549
255.26,2.49,2,5,2,76.72,153.67,0,19,6.069998999
347.42,2.77,1,3,3,52.65,209.13,0,26,4.0
443.41,3.52,2,9,6,119.47,266.96,0,32,7.721246399
605.42,4.29,2,10,14,137.97,363.91,1,39,6.609064893
400.49,3.59,3,7,5,85.0,241.09,0,30,6.009661145
444.5,4.02,5,6,8,132.03,267.58,0,33,7.0
472.93,3.87,1,9,8,87.2,284.43,0,33,4.0
460.59,5.39,1,6,5,72.34,277.25,1,35,5.0
449.46,3.83,2,7,7,91.24,270.55,0,31,8.698970004
547.62,2.76,4,11,10,157.56,329.68,2,40,6.0
555.64,3.59,3,10,8,133.42,334.5,1,41,5.900664722
432.84,4.01,1,7,4,85.81,260.3,0,30,8.387216143
500.56,5.11,0,8,6,89.09,301.32,2,38,6.659992382
608.63,7.19,3,8,9,109.65,366.4,2,45,5.625251654
578.5,3.9,1,8,8,103.37,347.71,1,39,9.13667714
481.55,3.89,2,9,5,132.8,289.9,0,35,6.499996932
333.39,2.46,1,3,3,52.65,200.69,0,25,5.292429824
275.76,4.03,1,3,2,33.12,165.67,0,18,5.200659451
529.71,5.01,2,8,8,86.28,318.83,2,38,4.698970004
483.48,4.17,2,9,8,119.47,291.07,0,35,7.568636236
426.33,6.89,1,5,4,57.94,256.03,1,28,6.602059991
495.33,5.85,2,6,6,94.6,297.63,1,32,5.0
387.29,3.5,2,6,6,65.97,232.58,0,24,7.346787486
334.38,3.82,2,6,4,68.3,201.29,0,25,5.698970004
338.37,2.35,2,5,4,90.46,203.7,0,25,6.031984286
361.49,2.31,2,4,4,81.33,217.62,0,26,5.0
511.03,3.81,2,9,7,86.22,307.36,1,36,7.251811973
700.62,5.28,2,11,9,104.32,421.22,3,45,9.522878745
694.17,4.5,1,13,12,159.09,417.58,2,48,6.017728767
449.56,4.34,1,6,7,79.82,270.63,0,33,6.677780705
501.99,5.03,2,7,11,88.61,301.92,2,35,8.812479279
374.36,3.42,2,8,3,119.36,225.37,0,28,5.27572413
252.28,2.05,2,6,2,89.61,151.87,0,19,7.769551079
315.31,1.88,2,7,2,99.08,189.83,0,23,7.853871964
313.36,2.67,1,7,4,88.08,188.65,0,23,5.519993057
562.48,5.21,2,8,9,115.21,338.01,2,37,7.958607315
350.38,3.52,2,6,6,85.37,210.93,0,26,5.301029996
475.55,3.41,2,9,10,105.76,286.28,0,35,8.040005162
455.5,2.0,3,10,8,144.15,274.18,0,32,5.598599459
451.53,5.39,0,7,7,65.3,271.81,1,34,7.86998805
552.46,6.18,1,8,7,86.79,332.02,2,38,9.397940009
495.0,5.36,1,6,8,59.51,297.7,1,35,7.468521083
418.5,5.27,1,4,6,59.81,251.92,1,32,5.0
433.51,3.96,2,7,8,84.53,260.97,0,32,6.585026652
463.49,4.84,1,8,8,104.94,279.02,0,34,9.698970004
462.82,5.47,2,6,4,93.96,278.36,1,32,5.0
308.77,4.03,1,2,2,37.27,185.59,0,22,5.619788758
545.76,6.9,1,6,5,98.9,328.54,2,39,6.958607315
474.61,4.23,2,8,11,78.68,285.71,0,35,6.0
550.49,5.55,3,8,9,100.64,331.43,2,39,9.0
440.02,5.84,1,6,5,45.46,264.55,1,30,7.283996656
531.03,5.19,3,7,11,100.64,319.41,2,37,5.0
494.35,3.98,1,7,6,79.82,297.05,0,33,7.301029996
454.57,3.99,1,5,3,72.36,273.64,0,34,4.301029996
617.2,5.72,2,7,7,96.94,371.27,2,44,6.537602002
597.12,4.67,2,11,6,110.73,359.1,2,40,6.920818754
364.45,3.76,3,5,3,105.82,219.4,0,27,4.950007143
378.38,4.42,2,5,5,66.91,227.76,0,26,6.769551079
445.38,5.56,2,5,4,81.07,268.14,1,32,5.0
520.63,6.04,2,6,9,75.6,313.4,2,39,7.503623946
304.35,4.51,1,3,3,46.53,183.2,0,23,4.853871964
450.44,3.93,2,7,5,87.58,271.14,0,31,8.0
460.54,4.67,1,9,8,97.89,277.24,0,34,8.160019442
340.38,3.15,3,3,5,91.42,204.91,0,25,5.26760624
683.74,1.45,7,8,18,237.69,411.64,2,47,5.0
407.5,3.51,2,7,6,95.06,245.27,0,29,8.142667504
494.57,3.68,1,9,11,85.92,297.74,0,36,8.920818754
472.34,3.76,1,6,4,79.82,283.79,0,30,6.27572413
482.61,3.23,3,6,7,110.43,290.49,0,34,6.0
446.84,4.09,1,6,6,76.58,268.73,0,31,9.15490196
561.61,5.61,2,7,7,86.28,338.1,2,41,8.292429824
411.28,5.39,2,3,5,53.6,247.02,1,26,3.715794932
249.34,2.5,0,3,3,29.54,150.05,0,17,4.0
343.43,4.75,2,3,5,63.93,206.73,0,26,5.0
417.94,5.38,1,7,4,56.27,251.23,1,27,5.537602002
492.98,6.22,1,6,7,59.51,296.49,1,35,8.301029996
559.62,4.11,3,9,9,127.18,336.89,1,41,7.701146924
396.28,5.25,1,5,5,55.63,237.99,1,27,6.187086643
579.96,5.99,5,6,11,141.68,348.89,2,40,7.0
494.62,4.04,1,7,7,76.49,297.71,0,35,5.4867824
287.3,2.5,2,6,2,89.85,172.96,0,21,7.853871964
472.51,4.72,1,9,11,117.23,284.45,0,35,9.30980392
532.6,4.31,2,10,7,125.47,320.63,1,39,7.657577319
361.83,2.6,3,4,7,78.79,217.53,0,25,4.301029996
531.04,3.22,4,10,8,135.61,319.37,1,36,7.0
548.57,5.17,3,7,3,118.95,330.25,2,40,5.0
835.98,6.76,2,12,13,137.3,503.22,3,60,7.0
734.68,6.46,3,10,10,169.58,441.64,2,48,5.0
411.49,3.24,3,8,5,99.09,247.72,0,30,7.301029996
389.44,0.83,1,9,4,115.13,234.41,0,27,4.602059991
846.32,4.45,2,15,14,208.5,509.18,2,59,7.37675071
502.62,4.03,1,9,10,88.77,302.57,1,37,9.049976093
222.29,3.62,1,2,1,24.39,133.8,0,17,4.301029996
508.6,6.27,1,5,5,48.05,306.16,2,38,6.698970004
276.7,3.57,1,4,2,42.22,166.3,0,19,5.488116639
622.13,5.93,4,9,9,138.31,374.24,2,45,5.0
